Account Region,Country,Market,Date,Sum of Count Of SR
US and Canada,Aruba,Power Gen,07-01-2021,1
US and Canada,Aruba,Power Gen,15-02-2020,1
US and Canada,Aruba,Power Gen,15-09-2021,1
US and Canada,Bermuda,Power Gen,24-05-2021,1
US and Canada,British Virgin Islands,Power Gen,19-03-2021,1
US and Canada,British Virgin Islands,Power Gen,31-05-2019,1
US and Canada,Canada,Accelera,01-11-2022,3
US and Canada,Canada,Accelera,01-12-2022,1
US and Canada,Canada,Accelera,02-03-2023,2
US and Canada,Canada,Accelera,02-08-2022,1
US and Canada,Canada,Accelera,02-12-2022,1
US and Canada,Canada,Accelera,03-08-2022,1
US and Canada,Canada,Accelera,03-10-2022,2
US and Canada,Canada,Accelera,04-08-2022,1
US and Canada,Canada,Accelera,04-10-2022,1
US and Canada,Canada,Accelera,05-12-2022,2
US and Canada,Canada,Accelera,06-09-2022,1
US and Canada,Canada,Accelera,08-06-2022,1
US and Canada,Canada,Accelera,09-08-2022,1
US and Canada,Canada,Accelera,12-12-2022,1
US and Canada,Canada,Accelera,13-04-2022,2
US and Canada,Canada,Accelera,14-09-2022,1
US and Canada,Canada,Accelera,14-10-2022,1
US and Canada,Canada,Accelera,15-06-2022,1
US and Canada,Canada,Accelera,15-10-2021,1
US and Canada,Canada,Accelera,15-11-2022,1
US and Canada,Canada,Accelera,16-06-2022,1
US and Canada,Canada,Accelera,16-12-2022,1
US and Canada,Canada,Accelera,17-05-2022,1
US and Canada,Canada,Accelera,18-01-2023,1
US and Canada,Canada,Accelera,19-08-2022,1
US and Canada,Canada,Accelera,20-01-2023,2
US and Canada,Canada,Accelera,20-04-2022,6
US and Canada,Canada,Accelera,20-07-2022,1
US and Canada,Canada,Accelera,21-02-2023,1
US and Canada,Canada,Accelera,22-03-2023,1
US and Canada,Canada,Accelera,22-04-2022,1
US and Canada,Canada,Accelera,22-12-2022,1
US and Canada,Canada,Accelera,23-01-2023,2
US and Canada,Canada,Accelera,23-03-2022,2
US and Canada,Canada,Accelera,24-08-2022,1
US and Canada,Canada,Accelera,24-10-2022,1
US and Canada,Canada,Accelera,24-11-2021,1
US and Canada,Canada,Accelera,25-01-2023,3
US and Canada,Canada,Accelera,25-08-2022,2
US and Canada,Canada,Accelera,26-01-2023,2
US and Canada,Canada,Accelera,26-04-2022,5
US and Canada,Canada,Accelera,27-02-2023,1
US and Canada,Canada,Accelera,27-03-2023,2
US and Canada,Canada,Accelera,27-06-2022,1
US and Canada,Canada,Accelera,27-07-2022,2
US and Canada,Canada,Accelera,27-09-2022,2
US and Canada,Canada,Accelera,28-02-2023,1
US and Canada,Canada,Accelera,28-06-2022,7
US and Canada,Canada,Accelera,28-12-2022,1
US and Canada,Canada,Accelera,29-07-2022,1
US and Canada,Canada,Accelera,29-11-2022,3
US and Canada,Canada,Accelera,30-01-2023,2
US and Canada,Canada,Accelera,30-05-2022,1
US and Canada,Canada,Accelera,30-06-2022,1
US and Canada,Canada,Accelera,30-11-2022,2
US and Canada,Canada,Accelera,31-01-2023,1
US and Canada,Canada,Accelera,31-03-2023,1
US and Canada,Canada,Accelera,31-05-2022,1
US and Canada,Canada,Industrial,01-02-2018,1
US and Canada,Canada,Industrial,01-02-2021,1
US and Canada,Canada,Industrial,01-02-2022,1
US and Canada,Canada,Industrial,01-03-2019,2
US and Canada,Canada,Industrial,01-03-2021,3
US and Canada,Canada,Industrial,01-03-2023,2
US and Canada,Canada,Industrial,01-04-2019,1
US and Canada,Canada,Industrial,01-04-2020,1
US and Canada,Canada,Industrial,01-04-2021,1
US and Canada,Canada,Industrial,01-05-2019,3
US and Canada,Canada,Industrial,01-06-2018,1
US and Canada,Canada,Industrial,01-06-2019,1
US and Canada,Canada,Industrial,01-06-2020,3
US and Canada,Canada,Industrial,01-06-2021,3
US and Canada,Canada,Industrial,01-06-2022,3
US and Canada,Canada,Industrial,01-08-2018,2
US and Canada,Canada,Industrial,01-09-2020,1
US and Canada,Canada,Industrial,01-09-2021,4
US and Canada,Canada,Industrial,01-09-2022,1
US and Canada,Canada,Industrial,01-10-2018,1
US and Canada,Canada,Industrial,01-10-2019,1
US and Canada,Canada,Industrial,01-10-2020,5
US and Canada,Canada,Industrial,01-11-2018,1
US and Canada,Canada,Industrial,01-11-2019,1
